#      glon(deg)       glat(deg)    redshift            kmag      real(1) or mock(0)
       189.93436     -0.98577881     0.018720022       10.580329       0
       189.92386       2.0199156     0.017600921       9.0784649       0
       180.59120      -4.5464373     0.017956275       11.420374       0
       189.93436      -2.1909347     0.018720022       10.580329       0
       185.04105      -1.4649012     0.017040546       11.382030       0
       183.97479      -4.6959448     0.017613306       11.262497       0
       189.59593       3.3092899     0.016942010       10.979777       0
       188.12483      -1.5368352     0.016207643       10.491895       0
       189.92386       3.2130928     0.017600921       9.0784649       0
       182.82808       2.7635393     0.018145083       11.251858       0
       189.40157      0.55076647     0.017636985       9.6255572       0
       189.66679      -1.7025182     0.016196969       10.048867       0
       187.38089      -4.7429996     0.017848653       10.696099       0
       186.26151       2.4539042     0.017042833       10.411035       0
       188.74269      -4.4686470     0.017135431       11.557272       0
       182.54065      -2.7347150     0.017570390       11.548387       0
       180.59120     -0.59559155     0.017956275       11.420374       0
       184.97263      -1.9886854     0.021341289       9.8330252       0
       183.66762       4.4008036     0.019211267       10.751585       0
       187.79704       4.3007860     0.019472500       10.299253       0
       186.53412       3.4491911     0.019822434       11.707148       0
       187.79704      0.83624411     0.019472500       10.299253       0
       183.54605      -1.4030883     0.018989090       10.818017       0
       187.60181      -3.1921642     0.019569223       10.191500       0
       187.90555       2.4306917     0.021937004       11.515544       0
       187.79704      0.18174362     0.019472500       10.299253       0
       183.15930      -4.2212882     0.019151977       11.238434       0
       183.15930     -0.91647720     0.019151977       11.238434       0
       186.47836      -3.2665505     0.022056154       11.258848       0
       180.03078       4.9476738     0.023942230       10.311653       0
       181.86998      -3.2350800     0.024392547       9.7467985       0
       183.30273      0.99354029     0.024723797       11.534641       0
       189.06052      -3.8373137     0.023028055       10.838326       0
       180.60361       4.0445623     0.024440298       11.434920       0
       189.60104      -3.1923819     0.023293957       10.885002       0
       182.72015       3.9246864     0.024132964       10.121138       0
       188.76509       3.7101889     0.024851237       11.353965       0
       186.96156       1.7786217     0.023375841       11.081211       0
       182.72015      -1.2795620     0.024132964       10.121138       0
       189.94466       2.5831466     0.027954581       11.192844       0
       189.95798     -0.79029751     0.028161351       11.392367       0
       185.36165      -4.0030346     0.027698765       11.391195       0
       188.87660       3.9926043     0.027217809       10.806976       0
       188.59833      -2.8280630     0.028063052       10.806119       0
       183.17941       2.3600745     0.028563070       11.547386       0
       188.83490      -4.4370613     0.031541220       11.184920       0
       184.33694       4.5608978     0.031879239       11.450774       0
       181.81552       2.8992901     0.030686367       10.717759       0
       189.73132      0.41239929     0.030688044       11.294763       0
       189.09824      -2.5299845     0.031428395       11.619634       0
       188.83490      -4.9931498     0.031541220       11.184920       0
       189.04271       3.3896694     0.031626742       10.915135       0
       186.95770     -0.70392036     0.032261071       11.281738       0
       189.04271       2.2812915     0.031626742       10.915135       0
       181.81552      -1.0214231     0.030686367       10.717759       0
       181.58438      -3.7319493     0.029743954       11.012375       0
       189.03462       2.6336670     0.031916791       11.360868       0
       182.69928     0.013225555     0.031890872       11.331803       0
       189.09824      -3.6854539     0.031428395       11.619634       0
       181.94051      -4.9344749     0.030130486       11.226354       0
       181.58438       1.8515053     0.029743954       11.012375       0
       182.69928      0.18107939     0.031890872       11.331803       0
       188.19315      0.69002151     0.031723758       11.449381       0
       189.04271       3.2963991     0.031626742       10.915135       0
       188.37981      -1.7583203     0.032181723       10.649537       0
       187.90359      -1.4503841     0.032287044       11.715803       0
       188.83490       3.4009647     0.031541220       11.184920       0
       181.81552       1.1921144     0.030686367       10.717759       0
       184.30296       2.2171712     0.030942955       11.061408       0
       185.19777      -2.2642250     0.032399461       11.115086       0
       184.30296      -2.3559699     0.030942955       11.061408       0
