galaxy, GLAT, GLON1, GLON2, z
1, -0.781395, 4.548483,  4.548483, 5.0
2, -0.0258, 11.818667,  11.818667, 5.0
4, -0.584033, 17.225237,  17.225237, 5.0
5, 0.034222, 17.784417,  17.784417, 5.0
6, -0.192917, 28.141688,  28.141688, 5.0
7, -0.539626, 28.729475,  28.729475, 5.0
9, -0.884437, 41.581565,  41.581565, 5.0
10, -0.888909, 42.908694,  42.908694, 5.0
11, -0.3903, 47.824267,  47.824267, 5.0
12, 0.961547, 48.707895,  48.707895, 5.0
13, -0.511079, 54.574569,  54.574569, 5.0
14, -0.256119, 54.657243,  54.657243, 5.0
15, 0.810834, 55.307833,  55.307833, 5.0
16, -0.3873, 57.4744,  57.4744, 5.0
17, -0.470409, 58.441232,  58.441232, 5.0
18, 0.396467, 59.217833,  59.217833, 5.0
19, 0.776002, 59.545904,  59.545904, 5.0
20, -0.1085, 61.3505,  61.3505, 5.0
21, -0.768282, 63.349203,  63.349203, 5.0
23, 0.888066, 299.398377,  -60.60162300000002, 5.0
24, -0.528374, 302.037426,  -57.96257400000002, 5.0
26, 0.015125, 306.681500,  -53.31849999999997, 5.0
28, -0.599138, 316.873061,  -43.12693899999999, 5.0
29, -0.49782, 317.039057,  -42.960942999999986, 5.0
30, 0.504229, 318.527084,  -41.472916, 5.0
31, -0.097762, 318.729619,  -41.270380999999986, 5.0
32, 0.652191, 321.402694,  -38.597306, 5.0
34, 0.317, 324.32325,  -35.67675000000003, 5.0
35, -0.799997, 325.245517,  -34.75448299999999, 5.0
36, 0.356375, 333.445875,  -26.554125, 5.0
38, -0.378042, 335.517,  -24.483000000000004, 5.0
39, -0.842779, 341.857467,  -18.142533000000014, 5.0
41, 0.389093, 350.101407,  -9.898593000000005, 5.0
42, -0.57213, 357.148741,  -2.8512590000000273, 5.0
43, -0.092033, 357.737833,  -2.2621669999999767, 5.0
