ID_,Flux_3.6_micron,Flux_4.5_micron,Flux_5.8_micron,Flux_8_micron,Flux_24_micron
247,0.00155,0.00105,9.6539E-4,0.00194,0.00336
266,0.0015,0.00135,0.00167,0.0132,0.02049
272,0.00593,0.00358,0.0081,0.0556,0.1213
134,0.00153,0.00121,0.0031,0.01368,0.0189
281,4.52503E-4,0.00142,0.00108,6.55003E-4,0.03623
123,0.00398,0.00372,0.00832,0.01922,--
GK_25,0.00129,0.00111,0.00135,0.0022,0.01937
GK_57,0.00217,0.0013,0.0033,0.00795,0.04532
GK_78,0.00171,0.00121,0.00122,0.00184,0.00597
GK_132,0.01483,0.0075,0.00662,0.00993,0.01997
GK_376,0.00125,9.50402E-4,0.00142,0.00373,0.00508
GK_393,0.00328,0.00204,0.00213,0.00344,0.02319
GK_517,0.00568,0.00271,0.00366,0.00403,0.03597
GK_1456,0.00271,0.00316,0.00284,0.006,--
GK_1555,0.00272,0.00177,0.00495,0.00871,0.18959
GK_1665,0.0037,0.00196,0.0033,0.00676,6.06282
GK_1672,0.00196,0.00174,0.00428,0.01201,9.64123E-4
GK_2034,0.03056,0.02579,0.0335,0.06107,0.13916
GK_2035,0.01497,0.01345,0.01585,0.03829,0.80124
GK_2343,0.00206,0.00159,0.00177,0.003,0.02009
GK_2509,5.28715E-4,3.03604E-4,9.28758E-4,0.00202,0.00237
GK_2812,0.01464,0.00908,0.01593,0.02026,0.0781
GK_2935,0.00112,9.98867E-4,9.97936E-4,0.00218,0.07356
GK_2948,0.00269,0.00254,0.00593,0.02155,0.01293
GK_2975,0.00451,0.0029,0.00356,0.00556,--
GK_3168,0.00222,0.00208,0.00322,0.00684,0.02382
GK_3273,0.00214,0.0017,0.00185,0.0038,0.00651
GK_3319,0.00788,0.00605,0.00627,0.01054,0.07046
GK_3388,9.32442E-4,7.97825E-4,0.00142,0.00742,0.01171
GK_3494,0.00233,0.00221,0.00426,0.01114,0.03775
GK_3590,0.00453,0.00293,0.00534,0.00997,0.06384
GK_3746,0.00135,0.00102,0.00175,0.00308,0.00328
GK_3767,0.0022,0.00153,0.00211,0.00435,0.01824
GK_3874,0.00565,0.00393,0.0037,0.0055,1.44352
GK_3942,4.95703E-4,4.94661E-4,4.17929E-4,7.76682E-4,0.00546
GK_4036,0.03641,0.02049,0.01987,0.02986,1.15098
GK_4190,0.01111,0.00564,0.00522,0.01229,0.13234
GK_4191,0.00738,0.00535,0.00894,0.01291,--
GK_4449,0.00148,0.001,0.0013,0.00271,0.00374
GK_4832,0.00266,0.00178,0.00541,0.00987,--
GK_4931,0.0089,0.0055,0.00401,0.01011,0.1169
