galaxy, z
247, 5.0
266, 5.0
272, 5.0
134, 5.0
281, 5.0
123, 5.0
GK_25, 5.0
GK_57, 5.0
GK_78, 5.0
GK_132, 5.0
GK_376, 5.0
GK_393, 5.0
GK_517, 5.0
GK_1456, 5.0
GK_1555, 5.0
GK_1665, 5.0
GK_1672, 5.0
GK_2034, 5.0
GK_2035, 5.0
GK_2343, 5.0
GK_2509, 5.0
GK_2812, 5.0
GK_2935, 5.0
GK_2948, 5.0
GK_2975, 5.0
GK_3168, 5.0
GK_3273, 5.0
GK_3319, 5.0
GK_3388, 5.0
GK_3494, 5.0
GK_3590, 5.0
GK_3746, 5.0
GK_3767, 5.0
GK_3874, 5.0
GK_3942, 5.0
GK_4036, 5.0
GK_4190, 5.0
GK_4191, 5.0
GK_4449, 5.0
GK_4832, 5.0
GK_4931, 5.0
GK_4972, 5.0
GK_5051, 5.0
GK_5219, 5.0
GK_5292, 5.0
GK_5313, 5.0
GK_5426, 5.0
--, 5.0
GK_5463, 5.0
GK_5488, 5.0
GK_5493, 5.0
GK_5722, 5.0
GK_5777, 5.0
GK_6016, 5.0
GK_6143, 5.0
GK_4766, 5.0
GK_4783, 5.0
GK_4794, 5.0
YB_791, 5.0
YB_863, 5.0
RF_148, 5.0
RF_181, 5.0
RF_232, 5.0
RF_254, 5.0
RF_401, 5.0
RF_483, 5.0
RF_537, 5.0
RF_557, 5.0
RF_773, 5.0
RF_819, 5.0
RF_834, 5.0
RF_870, 5.0
RF_907, 5.0
RF_948, 5.0
RF_963, 5.0
RF_1000, 5.0
RF_1057, 5.0
RF_1143, 5.0
RF_1212, 5.0
RF_1378, 5.0
RF_1400, 5.0
RF_1419, 5.0
RF_1424, 5.0
RF_1431, 5.0
RF_1489, 5.0
RF_1493, 5.0
RF_1531, 5.0
RF_1540, 5.0
RF_1618, 5.0
RF_1720, 5.0
RF_1837, 5.0
RF_1843, 5.0
RF_1849, 5.0
RF_1955, 5.0
RF_1958, 5.0
RF_2076, 5.0
RF_2085, 5.0
RF_2192, 5.0
RF_2291, 5.0
RF_2356, 5.0
RF_2511, 5.0
RF_2513, 5.0
RF_2520, 5.0
RF_2585, 5.0
RF_2610, 5.0
RF_2803, 5.0
RF_2924, 5.0
RF_2954, 5.0
RF_3068, 5.0
RF_3118, 5.0
RF_3163, 5.0
RF_3241, 5.0
RF_3420, 5.0
RF_3466, 5.0
RF_3542, 5.0
RF_3548, 5.0
RF_3560, 5.0
RF_3778, 5.0
RF_3998, 5.0
RF_4069, 5.0
RF_4386, 5.0
RF_4403, 5.0
RF_4636, 5.0
RF_4735, 5.0
RF_4905, 5.0
RF_4931, 5.0
RF_4955, 5.0
RF_4996, 5.0
RF_5097, 5.0
RF_5166, 5.0
RF_5193, 5.0
RF_5245, 5.0
RF_5408, 5.0
RF_5455, 5.0
RF_5521, 5.0
RF_5583, 5.0
RF_5592, 5.0
RF_5595, 5.0
RF_5603, 5.0
RF_5649, 5.0
RF_5979, 5.0
RF_6083, 5.0
RF_6084, 5.0
RF_6144, 5.0
RF_6147, 5.0
RF_6312, 5.0
RF_6361, 5.0
RF_6565, 5.0
RF_6571, 5.0
RF_6573, 5.0
RF_6706, 5.0
RF_6727, 5.0
RF_6728, 5.0
RF_6742, 5.0
RF_6749, 5.0
RF_6753, 5.0
RF_6833, 5.0
RF_6885, 5.0
RF_6896, 5.0
RF_6924, 5.0
RF_6982, 5.0
RF_7032, 5.0
RF_7087, 5.0
RF_7163, 5.0
RF_7208, 5.0
RF_7215, 5.0
RF_7230, 5.0
RF_7234, 5.0
RF_7247, 5.0
RF_7263, 5.0
RF_7288, 5.0
RF_7381, 5.0
RF_7388, 5.0
RF_7389, 5.0
RF_7392, 5.0
RF_7513, 5.0
RF_7554, 5.0
RF_7556, 5.0
RF_7678, 5.0
RF_7786, 5.0
RF_8017, 5.0
RF_8020, 5.0
RF_8024, 5.0
RF_8029, 5.0
RF_8040, 5.0
RF_8109, 5.0
RF_8130, 5.0
RF_8132, 5.0
RF_8336, 5.0
RF_8519, 5.0
RF_8558, 5.0
RF_8609, 5.0
RF_8651, 5.0
RF_8683, 5.0
RF_8791, 5.0
RF_8799, 5.0
RF_9006, 5.0
RF_9071, 5.0
RF_9103, 5.0
RF_9122, 5.0
RF_9133, 5.0
RF_9159, 5.0
RF_9302, 5.0
RF_9323, 5.0
RF_9518, 5.0
RF_10061, 5.0
RF_10065, 5.0
RF_10069, 5.0
RF_10082, 5.0
RF_10115, 5.0
RF_10116, 5.0
RF_10220, 5.0
RF_10256, 5.0
RF_10273, 5.0
RF_10297, 5.0
RF_10311, 5.0
RF_10341, 5.0
RF_10441, 5.0
RF_10512, 5.0
RF_10727, 5.0
RF_10773, 5.0
RF_10874, 5.0
RF_10997, 5.0
RF_11026, 5.0
RF_11046, 5.0
RF_11047, 5.0
RF_11068, 5.0
RF_11083, 5.0
RF_11153, 5.0
RF_11222, 5.0
RF_11236, 5.0
RF_11287, 5.0
RF_11302, 5.0
RF_11452, 5.0
RF_11495, 5.0
RF_11519, 5.0
RF_11765, 5.0
RF_11845, 5.0
RF_11905, 5.0
RF_11951, 5.0
RF_12011, 5.0
RF_12059, 5.0
RF_12089, 5.0
RF_12177, 5.0
RF_12199, 5.0
RF_12494, 5.0
RF_12512, 5.0
RF_12518, 5.0
RF_12557, 5.0
RF_12575, 5.0
RF_12848, 5.0
RF_12921, 5.0
RF_12964, 5.0
RF_13035, 5.0
RF_13079, 5.0
RF_102, 5.0
RF_496, 5.0
RF_1088, 5.0
RF_1506, 5.0
RF_1774, 5.0
RF_1807, 5.0
RF_2126, 5.0
RF_2749, 5.0
RF_3038, 5.0
RF_4368, 5.0
RF_4813, 5.0
RF_5745, 5.0
RF_5780, 5.0
RF_5792, 5.0
RF_5822, 5.0
RF_5831, 5.0
RF_5843, 5.0
RF_5853, 5.0
RF_5862, 5.0
RF_6426, 5.0
RF_6438, 5.0
RF_6492, 5.0
RF_6548, 5.0
RF_7887, 5.0
RF_7904, 5.0
RF_7909, 5.0
RF_7928, 5.0
RF_7949, 5.0
RF_8856, 5.0
RF_8861, 5.0
RF_8964, 5.0
RF_9743, 5.0
RF_9762, 5.0
RF_9793, 5.0
RF_9809, 5.0
RF_9860, 5.0
RF_9920, 5.0
RF_9931, 5.0
RF_9963, 5.0
RF_10018, 5.0
RF_10025, 5.0
RF_10049, 5.0
RF_12321, 5.0
RF_12351, 5.0
RF_12368, 5.0
RF_12372, 5.0
RF_12421, 5.0
RF_12431, 5.0
RF_13160, 5.0
RF_13178, 5.0
