#      glon(deg)       glat(deg)    redshift            kmag      real(1) or mock(0)
       97.363007      -87.964523   0.00096654735       3.7675175       1
       142.09190       40.900219   0.00042363355       3.8041036       1
       309.51639       19.417610   0.00090817692       3.9033654       1
       305.27151       13.340170   0.00091785101       4.4233906       1
       133.61024      -31.330811   0.00023125975       4.0876024       1
       141.40953       40.567101    0.0012233388       4.6131859       1
       138.17259       10.579990   0.00092163763       4.3644005       1
       314.58353       31.972691   0.00089414392       4.5973287       1
       298.46094       51.149231    0.0026988972       4.9510230       1
       121.14999      -21.976219   0.00028780865       5.0407498       1
       123.36211       76.007767    0.0011452879       5.1029826       1
       315.68127       84.422867    0.0011560641       5.3180108       1
       95.718727       11.672890    0.0010969626       5.2508570       1
       286.92224       70.195969    0.0028666322       5.3954591       1
       104.85159       68.560837    0.0018061487       5.4887024       1
       138.31985       68.842506    0.0016903883       5.4624012       1
       240.16275      -56.689838    0.0055727361       5.5944809       1
       105.99706       74.287727    0.0017755474       5.6066228       1
       172.10397      -51.933578    0.0041317323       5.7867442       1
       295.87354       74.317673    0.0033390830       5.7386864       1
       247.52402      -57.042431    0.0022877136       5.6589543       1
       255.53194       52.829208    0.0020383084       5.7683060       1
       120.71631      -21.138710   0.00015667262       5.5574084       1
       283.77777       74.491043    0.0039707811       5.8143263       1
       247.78252       36.780941    0.0014873492       5.8708729       1
       241.96164       64.418457    0.0019938899       5.8741904       1
       102.03697       59.771561    0.0012306305       5.5122046       1
       140.38223      -17.415140    0.0025915802       5.9217443       1
       138.46324       13.110320    0.0037879158       5.8998516       1
       93.722099      -20.723801    0.0037018933       6.0056283       1
       208.71164       44.540131    0.0015970400       6.0291583       1
       241.33185       64.221687    0.0022619560       6.0628876       1
       230.76158       86.437813    0.0039458302       6.0652615       1
       166.94218       44.151409    0.0023887356       6.0632172       1
       332.22400      -26.146400    0.0022358593       5.9258197       1
       240.85176       64.780792    0.0023305375       6.0700659       1
       267.71216       79.237129    0.0021314407       6.1395480       1
       239.51228       35.014179    0.0057448480       6.2509270       1
       145.02322      -19.089130    0.0029029917       6.2245536       1
       282.32941       76.507767    0.0072536507       6.2728333       1
       251.97076       16.353750    0.0014318128       6.2517284       1
       278.20502       74.478302    0.0031484985       6.2161915       1
       265.63147      -43.691181    0.0033917162       6.2848231       1
       233.49026       57.632759    0.0025964319       6.2677571       1
