galaxy, GLAT, GLON1, GLON2, z
1, -0.781395, 4.548483,  4.548483, 0.012
2, -0.0258, 11.818667,  11.818667, 0.047

4, -0.584033, 17.225237,  17.225237, 0.13
5, 0.034222, 17.784417,  17.784417, 0.141
6, -0.192917, 28.141688,  28.141688, 0.054
7, -0.539626, 28.729475,  28.729475, 0.02

9, -0.884437, 41.581565,  41.581565, 0.025

11, -0.3903, 47.824267,  47.824267, 0.021
12, 0.961547, 48.707895,  48.707895, 0.029
13, -0.511079, 54.574569,  54.574569, 0.028
14, -0.256119, 54.657243,  54.657243, 0.033
15, 0.810834, 55.307833,  55.307833, 0.026
16, -0.3873, 57.4744,  57.4744, 0.02
17, -0.470409, 58.441232,  58.441232, 0.017

19, 0.776002, 59.545904,  59.545904, 0.024
20, -0.1085, 61.3505,  61.3505, 0.017
21, -0.768282, 63.349203,  63.349203, 0.017

23, 0.888066, 299.398377,  -60.60162300000002, 0.043
24, -0.528374, 302.037426,  -57.96257400000002, 0.029



28, -0.599138, 316.873061,  -43.12693899999999, 0.087
29, -0.49782, 317.039057,  -42.960942999999986, 0.02
30, 0.504229, 318.527084,  -41.472916, 0.031
31, -0.097762, 318.729619,  -41.270380999999986, 0.03
32, 0.652191, 321.402694,  -38.597306, 0.117

34, 0.317, 324.32325,  -35.67675000000003, 0.028
35, -0.799997, 325.245517,  -34.75448299999999, 0.033
36, 0.356375, 333.445875,  -26.554125, 0.141

38, -0.378042, 335.517,  -24.483000000000004, 0.155
39, -0.842779, 341.857467,  -18.142533000000014, 0.029

41, 0.389093, 350.101407,  -9.898593000000005, 0.023
42, -0.57213, 357.148741,  -2.8512590000000273, 0.011
43, -0.092033, 357.737833,  -2.2621669999999767, 0.023
